CODE,NAME
0301E-0048,BABA GORRO MEMORIAL MOSQUE NEW TOWN
0301E-0047,AKOTEX MOSQUE NEW TOWN
0301E-0046,YELLOW HSE NEW TOWN
0301E-0045,ZIKS VIDEO CENTRE NEW TOWN
0301E-0044,ACCRA NEW TOWN J H S MAMOBI
0301E-0043,FAMILY DAY CARE CENTRE MAMOBI
0301E-0042,M D C C MAMOBI
0301E-0041,MAMOBI CLINIC
0301E-0040,JUBILEE CHURCH MAMOBI
0301E-0039,BETHANY NURSERY AND PREP
0301E-0038,WILBERFORCE PREP SCH MAMOBI
0301E-0037,EVANGELICAL CHURCH OF GHANA 1
0301E-0036,SENYA INTERNATIONAL SCHOOL 1
0301E-0035,KOTOKA MEMORIAL SCHOOL
0301E-0034,"ACCRA GIRLS SEC SCH 1, MAMOBI"
0301E-0033,UNITED FAITH TABERNACLE SCH MAMOBI
0301E-0032,VICTORY INTERNATIONAL PREP SCH
0301E-0031,SEWABA CINEMA HALL 1 MAMOBI
0301E-0030,CITY PLAZA VIDEO CENTRE
0301E-0029,ALFALAH ISLAMIC SCHOOL
0301E-0028,MOSQUE NEAR H/N 61/16 MAMOBI
0301E-0027,H/NO E 306/13 NEAR TAXI RANK
0301E-0026,ALSAFIYA ISLAMIC SCH NIMA
0301E-0025,ISLAMIC RESEARCH INSTITUTE NIMA
0301E-0024,ST LOUIS CLINIC NIMA
0301E-0023,PENTECOST EMMANUEL TEMPLE NIMA
0301E-0022,NIMA POST OFFICE
0301E-0021,MOUNT ZION PREPARATORY SCHOOL
0301E-0020,DE' YOUNGSTERS INTERNATIONAL SCHOOL
0301E-0019,NIMA 1 J S S
0301E-0018,RASHAD ARABIC and ENGLISH SCHOOL 441
0301E-0017,HOMETEL OF GRACE PREPARATORY SCH
0301E-0016,ANANI INTERNATIONAL SCHOOL NIMA
0301E-0015,ALHAJI IDRISU'S HOUSE
0301E-0014,ADABIYA ISLAMIC SCHOOL NIMA
0301E-0013,NURIYA ISLAMIC SCHOOL NIMA
0301E-0012,FRANKIES DOWN H/NO 77/10
0301E-0011,GODSON INTER FRENCH/ENGLISH SCH NIMA
0301E-0010,ROMAN CATHOLIC SCHOOL NIMA
0301E-0009,EBENEZER MEMORIAL DAY CARE CENTRE
0301E-0008,DAY CARE CENTRE 37 MILITARY HOSPITAL
0301E-0007,OFFICERS MESS 37 MILITARY HOSPITAL
0301E-0006,KANDA G N T C
0301E-0005,ASSEMBLIES OF GOD CHURCH
0301E-0004,NURUDEEN ISLAMIC SCH RUGA
0301E-0003,FLAG STAFF HSE J H S KANDA
0301E-0002,INFORMATION SERVICES 1 KANDA
0301E-0001,KANDA ESTATE 2and3 PRIMARY SCHOOL
0301A0001,ACCRA ACADEMY (1) BUBIASHIE
0301A0002,BISHOP BOYS (1) BUBIASHIE
0301A0003,"MOUNT ARARAT METH. CHURCH, BUBIASHIE"
0301A0004,PENTECOST CHURCH BUBIASHIE (1)
0301A0005,BUBIASHIE 1 and 2 PRIM. SCHOOL
0301A0006,HAPPY HOME ACADEMY (1) ATICO
0301A0007,GLOBAL REVIVAL CHURCH BUBIASHIE (1)
0301A0008,APOSTLES OF CHIRST CHURCH BUBIASHIE
0301A0009,ATICO CENTRAL MOSQUE (1)
0301A0010,S D A CHURCH ATICO (1)
0301A0011,"AWUDOME J H S, EST AWUDOME ESTATES"
0301A0012,KANESHIE 1and4 PRIM. SCH. (1) KANESHIE
0301A0013,"ST. THERESA'S CATH. CHURCH, AWUDOME"
0301A0014,WINSTON SALEM (1) KANESHIE
0301A0015,"KANESHIE PENTECOST CHURCH (1),  KANESHIE"
0301A0016,"CRIPPLES HOME (1), KANESHIE"
0301A0017,"METHODIST J H S (1), KANESHIE"
0301A0018,"FAN MILK QUARTERS, AWUDOME"
0301A0019,"PRINCE OF PEACE INT. SCH., BUBIASHIE"
0301A0020,"PandT PHARMACY LTD, AWUDOME"
0301A0021,"ETON PREP SCH., BUBIASHIE"
0301A0022,ANGLICAN J H S (1) BUBIASHIE
0301A0023,"KANESHIE 1and2 SCH. (1), BUBIASHIE"
0301A0024,ELOHIM E P CHURCH BUBIASHIE
0301A0025,E P CHURCH BUBIASHIE (1)
0301A0026,ORION CINEMA HALL CIRCLE (1)
0301A0027,KPEHE METH. CHURCH. KPEHE
0301A0028,REVIVAL OF ISLAMIC HERITAGE MOSQUE.AVENOR (1)
0301A0029,WINNERS CHAPEL (1) AVENOR
0301A0030,POLICE DEPOT J H S (1) TESANO
0301A0031,POLICE DEPOT TENNIS COURT (1) TESANO
0301A0032,GHANA TELECOM UNIVERSITY. TESANO
0301A0033,BAPTIST CHURCH OF GHANA TESANO
0301A0034,ST. THERESA'S PREP. SCH. (1)  NTH K'SHIE
0301A0035,INTERNAL REVENUE SERVICE. NTH K'SHIE
0301A0036,CHRIST APOSTOLIC CHURCH (C A C) NTH K'SHIE
0301A0037,SYSTEM ANALYSIS CO. NTH K'SHIE
0301A0038,"LIGHT OF LIFE GOSP. CHURCH, NTH K'SHIE"
0301A0039,"GOOD SHEPHERD METH. CHURCH, NTH K'SHIE"
0301A0040,S D A CHURCH NTH K'SHIE
0301A0041,FOOD and AGRIC ORG. (1) NTH K'SHIE
0301A0042,ROCKY SPOT NTH K'SHIE
0301A0043,"ST. NICHOLAS ACADEMY, NTH K'SHIE"
0301A0044,S H C GUEST HSE. NTH K'SHIE (1)
0301A0045,SOCIETY FOR EDU. AND DEV. KUWAIT OFF NTH KANESHIE
0301A0046,ASSEMBLIES OF GOD (1) NTH K'SHIE
0301A0047,"PROBISCO INT. SCH., NTH K'SHIE"
