CODE,NAME
0301A,OKAIKWEI
0301B,ABLEKUMA
0301C,ASHIEDU KETEKE
0301D,OSU CLOTTEY
0301E,AYAWASO
0302,GA-WEST
0302A,GA SOUTH
0302B,GA CENTRAL
0303,GA EAST
0303A,LA - NKWANTANANG / MADINA MUNICIPALITY
0304,TEMA
0304A,KPONE KATAMANSO
0304B,ASHAIMAN
0304C,ADENTAN
0305A,SHAI-OSUDOKU
0305B,NINGO-PRAMPRAM
0306A,ADA WEST
0306B,ADA EAST
0310A,LA DADE-KOTOPON
0310B,LEDZOKUKU KROWOR
